1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2,2,2,2,2,2,2,3,3,3,2,2,2,3,5,11,12,12,12,12,11,10,7,2,1,1,1,1,0,0,0
0,0,0,0,1,8,9,9,9,3,2,2,5,4,3,3,3,2,2,2,1,1,0,0,0,0,1,1,1,1,1
7,6,6,7,7,7,7,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,9,9,9,12,12,12,12,11,7,6,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
23,23,23,23,23,23,25,25,25,25,24,24,22,17,17,17,16,16,14,16,15,13,10,8,0,1,0,0,0,0,0
9,9,9,7,6,6,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,0,0
13,13,12,9,8,7,8,8,8,8,8,8,7,7,7,7,7,6,5,5,7,5,4,4,3,0,2,2,2,2,2
13,13,14,14,12,10,13,13,12,13,15,15,15,13,12,12,13,13,14,14,14,10,9,8,5,4,2,1,0,0,1
12,10,10,10,9,9,10,9,9,7,7,7,6,5,5,5,6,6,6,7,7,7,8,8,8,7,7,4,2,2,2
0,0,1,1,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,2,1,1,1,1
7,7,7,7,7,7,7,7,6,5,5,6,6,5,4,4,4,4,3,3,3,3,2,4,3,3,4,3,2,1,0
7,7,7,7,6,7,7,7,5,5,5,5,5,5,5,5,5,4,3,3,2,1,1,1,1,0,0,6,8,8,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,9,9,9,6,6,7,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,13,16,16,15,15,16,16,14,15,15,14,14,17,17,20,20,20,17,17,17,17,17,17,17,15,14,13,10
11,11,11,13,13,13,11,11,9.8,9.8,5.9,5.1,5.1,1.2,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0
3.1,3.1,3.1,3.1,3.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1,9.1,7.9,7.1,9.8,11,11,11,11,9.8,9.1,7.9,7.1,7.1,7.1,5.9,5.1,5.1,5.1,5.9,5.1,5.1,3.9,3.9,3.1,3.1,3.9,2,2,5.1,5.9
20.1,20.1,20.1,18.9,18.9,18.9,18.1,18.1,16.9,25.2,24,24,22,22,22,22,20.9,20.9,20.1,18.9,18.9,16.9,16.1,14.2,14.2,11.8,11,7.9,7.1,5.1,5.1
11,10,10,10,9,9,9,8,7,8,7,6,6,5,5,5,5,5,5,5,5,5,4,3,1,1,1,0,0,0,0
