year,SPDX,DOBG,IAT,AGDU,FFD,DOYX,TSNOW,SP,HI
1942,,99,17.4,105, ,65,7.3,0,0.843478261
1943,,88,,112, ,,22.4,5,0.923809524
1944,,93,,118, ,,21.2,3,0.866071429
1945,,108,,99, ,,13.6,0,0.822033898
1946,,97,,104, ,,17.7,2,0.97979798
1947,,101,,122, ,,10.9,1,0.932692308
1948,,93,,115, ,,30.2,17,0.795081967
1949,,89,,109, ,,20,3,0.843478261
1950,7,118,,138,196,,27.6,7,0.889908257
1951,,92,13.7,122, ,,29.3,12,0.702898551
1952,,100,,117, ,,24.3,5,0.795081967
1953,,76,,122, ,,14.3,2,0.829059829
1954,,94,,113, ,,12.2,1,0.795081967
1955,,90,4.3,107, ,,22.4,4,0.85840708
1956,,101,8,132, ,,18.9,5,0.906542056
1957,,60,14.1,114, ,,8.5,0,0.734848485
1958,,53,15.4,100, ,,7.1,1,0.850877193
1959,0,60,,110,186,,5.7,0,0.97
1960,,95,,121, ,,9.8,3,0.881818182
1961,0,59,,111,188,,3.9,0,0.801652893
2012,6,72,20.3,83,179,,23.4,0,0.873873874
2013,16,116,15.7,132,170,,38.2,14,0.734848485
2014,13,93,4.7,117,163,,16.5,0,0.829059829
2015,,66,,99,,,11.5,0,0.97979798
2016,,51,25,97,,,16.2,0,1
2017,,59,,98,,,18.9,0,0.989795918
2018,,105,,124,,,34.7,7.1,0.782258065
2019,,105,-0.2,117,,,40.5,22,0.829059829
2020,9,98,14.3,120,175,,10.5,5,0.808333333
