year,SPDX,DOBG,AGDU,FFD,DOYX,TSNOW,SP,HI,ST
1942,0,99,105,,,7.3,0,0.843478261,33.16379928
1943,5,88,112,,,22.4,5,0.923809524,20.04175627
1944,3,93,118,,,21.2,3,0.866071429,27.44139785
1945,0,108,99,,,13.6,0,0.822033898,28.36200717
1946,2,97,104,,,17.7,2,0.97979798,30.01989247
1947,1,101,122,,,10.9,1,0.932692308,26.75268817
1948,17,93,115,,,30.2,17,0.795081967,21.64247312
1949,3,89,109,146,,20,3,0.843478261,24.17526882
1950,7,118,138,161,,27.6,7,0.889908257,15.72544803
1951,12,92,122,,,29.3,12,0.702898551,19.04605735
1952,5,100,117,,,24.3,5,0.795081967,23.25842294
1953,2,76,122,153,,14.3,2,0.829059829,25.27401434
1954,1,94,113,164,,12.2,1,0.795081967,21.74354839
1955,4,90,107,,,22.4,4,0.85840708,25.69121864
1956,5,101,132,,,18.9,5,0.906542056,20.14426524
1957,0,60,114,149,,8.5,0,0.734848485,24.17258065
1958,1,53,100,142,,7.1,1,0.850877193,31.17992831
1959,0,60,110,153,,5.7,0,0.97,25.92096774
1960,3,95,121,153,,9.8,3,0.881818182,21.57706093
1961,0,59,111,,,3.9,0,0.801652893,26.34121864
2012,0,72,83,123,,23.4,0,0.873873874,37.04860178
2013,14,116,132,171,,38.2,14,0.734848485,21.27780876
2014,0,93,117,148,,16.5,0,0.829059829,22.4031618
2015,0,66,99,,,11.5,0,0.97979798,29.46573221
2016,0,51,97,138,,16.2,0,1,35.24143493
2017,0,59,98,,,18.9,0,0.989795918,33.12089094
2018,7.1,105,124,,,34.7,7.1,0.782258065,22.69546851
2019,22,105,117,,,40.5,22,0.829059829,21.18771121
2020,5,98,120,146,,10.5,5,0.808333333,26.49755284
